,cat_5,cat_8,cat_14,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_FAST FOOD LIMITED MENU,healthScore,googleRating
147,0,0,0,0,0,0,0,4,Low
148,0,0,0,0,0,0,0,4,High
149,1,1,1,0,0,0,1,4,High
150,0,1,0,0,0,0,0,4,High
151,1,0,0,0,0,0,0,4,Low
152,0,1,1,0,0,0,0,4,Low
153,1,1,1,0,0,1,0,3,Low
154,1,1,0,0,0,0,1,4,Low
155,1,1,1,0,0,0,0,3,Low
156,1,1,1,0,0,0,0,4,Low
157,1,0,0,0,1,0,0,5,Low
158,0,1,0,0,0,0,0,4,High
159,0,0,0,0,0,0,1,5,Low
160,0,1,0,0,0,0,0,3,High
161,0,1,0,0,0,0,0,5,Low
162,1,1,0,0,0,0,0,3,High
163,0,1,1,0,0,0,0,3,Low
164,0,1,0,0,0,0,0,4,Low
165,1,1,0,0,0,0,0,4,Low
166,0,0,0,0,0,0,1,5,Low
167,1,0,0,0,0,0,0,4,Low
168,0,0,0,0,0,0,1,5,Low
169,1,1,0,0,0,0,1,5,Low
170,0,1,1,0,0,0,1,3,Low
171,0,0,0,0,0,0,0,4,High
172,0,0,0,0,0,0,1,5,Low
173,0,1,0,0,1,0,0,5,High
174,0,1,0,0,0,0,1,4,Low
175,0,0,0,0,0,0,0,4,Low
176,1,1,1,0,0,0,0,4,Low
177,1,0,0,0,0,0,1,5,Low
178,0,1,0,0,0,0,0,4,High
179,1,1,1,0,0,0,0,3,High
180,0,0,1,0,0,0,0,4,Low
181,1,1,0,0,0,0,0,3,Low
182,1,1,0,0,0,0,0,4,High
183,1,1,0,1,0,0,1,4,Low
184,0,0,0,0,0,0,0,5,Low
185,1,1,0,0,0,0,0,3,Low
186,0,1,0,0,0,0,1,5,High
187,0,1,1,0,0,0,0,2,Low
188,0,1,0,0,0,0,1,3,Low
189,1,0,0,0,0,0,0,5,Low
190,1,1,1,0,0,0,0,4,Low
191,1,0,0,0,0,1,0,3,Low
192,1,0,0,0,0,0,1,5,Low
193,1,1,0,0,0,0,0,3,High
194,1,1,0,0,0,0,0,2,Low
195,0,1,0,0,0,0,0,3,Low
196,0,0,0,1,0,0,1,5,Low
197,0,1,0,0,0,0,1,5,Low
198,0,1,0,0,0,0,0,5,Low
199,1,1,0,0,0,0,1,5,Low
200,1,1,0,0,0,0,0,4,Low
201,0,0,0,0,0,0,0,5,Low
202,1,1,0,0,0,0,0,5,Low
203,1,1,1,0,0,0,0,3,Low
204,0,0,0,0,0,0,0,4,Low
205,1,1,1,0,0,0,0,3,Low
206,0,0,0,0,0,0,1,5,Low
207,0,0,0,0,0,0,0,4,Low
208,0,0,0,0,0,0,0,4,Low
209,1,1,1,0,0,0,0,3,Low
210,0,1,0,0,0,0,1,5,High
211,0,0,1,0,0,0,1,5,High
212,1,1,0,0,0,0,0,4,High
213,1,1,0,0,0,0,0,3,High
214,0,1,0,0,0,0,1,5,Low
215,1,1,0,0,0,0,0,5,Low
216,1,1,0,0,0,0,0,3,Low
217,0,0,0,0,0,1,0,4,Low
218,1,1,1,0,0,0,0,3,Low
219,1,0,0,0,0,0,0,4,Low
220,1,1,0,0,0,0,1,5,Low
221,1,0,0,0,0,1,0,5,Low
222,1,1,0,0,0,0,1,3,Low
223,1,0,0,0,0,1,0,4,Low
224,0,1,0,0,0,0,0,4,High
225,0,0,0,0,0,0,0,5,Low
226,1,0,0,0,0,1,0,5,Low
227,0,0,0,0,0,0,0,5,Low
228,0,1,0,0,0,1,0,3,Low
229,0,1,0,0,0,0,0,5,Low
230,1,1,0,0,0,1,0,4,Low
231,1,1,0,0,0,0,1,4,Low
232,0,0,0,0,0,0,0,5,Low
233,1,0,1,0,0,0,0,3,Low
234,0,1,0,0,0,0,0,5,Low
235,0,1,1,0,0,0,1,5,Low
236,0,0,1,0,0,0,1,5,Low
237,1,0,0,0,0,1,0,3,Low
238,0,1,0,0,0,0,1,5,High
239,0,0,0,0,0,0,0,4,Low
240,1,1,0,0,0,0,0,3,High
241,1,1,0,0,0,0,0,5,Low
242,0,1,1,0,0,0,0,3,High
243,1,1,1,0,0,0,0,5,Low
244,1,1,0,0,0,0,0,5,High
245,0,0,0,0,0,0,1,3,Low
246,1,0,0,0,0,0,0,2,Low
247,1,1,1,0,0,0,0,3,High
248,0,1,1,0,0,0,0,3,Low
249,0,0,0,0,0,0,0,5,Low
250,1,0,1,0,0,0,1,5,Low
251,1,0,0,0,0,0,0,3,Low
252,1,1,0,0,0,0,0,3,Low
253,1,1,1,0,0,0,0,3,Low
254,1,0,0,0,0,0,1,4,High
255,0,0,1,0,0,0,1,5,Low
256,0,0,0,0,0,0,0,4,Low
257,0,0,0,0,0,0,1,5,Low
258,1,1,1,0,0,0,0,3,Low
259,1,0,0,1,0,0,1,5,High
