,healthScore,cat_1,cat_2,cat_3,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_12,cat_13,cat_14,googleRating,typeOfFacility_GROCERY STORE 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI MORE THAN 15000 SQ FT,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_MOBILE UNIT FULL FOOD SERVICE,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT 0 TO 100 SEATS,typeOfFacility_RESTAURANT 101 TO 200 SEATS,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_BARS FRATERNAL ORGANIZATIONS,categoryOfFacility_FAST FOOD LIMITED MENU,categoryOfFacility_FULL MENU LIMITED SERVICE,categoryOfFacility_FULL SERVICE FULL MENU,categoryOfFacility_MOBILE UNITS,categoryOfFacility_RETAIL COMMISSARY
44,4,0,0,2,1,0,0,0,1,0,0,0,0,Low,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
45,4,3,2,0,0,0,0,1,0,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46,5,0,2,1,1,1,0,0,1,1,0,1,2,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
47,2,2,2,2,1,0,0,1,2,1,1,1,1,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
48,5,1,3,2,1,3,1,1,0,0,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
49,5,0,1,1,0,1,0,0,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
50,4,1,3,2,1,0,0,1,0,0,2,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
51,4,0,1,1,0,1,0,1,1,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
52,5,0,2,2,1,1,0,0,1,0,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,4,2,2,1,1,0,0,2,1,1,0,1,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
54,3,3,3,0,2,1,1,1,1,1,1,1,1,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
55,4,0,2,1,0,1,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
56,3,0,2,1,0,1,0,2,0,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
57,2,3,3,4,1,3,0,1,3,1,4,1,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
58,5,0,1,2,0,0,0,0,1,0,0,1,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
59,5,0,0,0,2,1,1,2,2,0,1,0,1,Low,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
60,3,0,2,4,1,3,1,3,0,1,2,1,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
61,5,1,1,1,0,1,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
62,3,5,3,5,0,1,0,0,1,0,0,0,0,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
63,3,1,2,3,1,3,0,1,1,1,2,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
64,5,1,0,1,1,2,0,1,0,0,0,0,0,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
65,5,0,3,1,0,2,0,1,0,1,0,0,0,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
66,4,2,1,0,0,0,2,1,1,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
67,3,0,2,2,2,2,0,2,1,1,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
68,2,0,2,2,2,2,0,3,2,2,3,2,3,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
69,3,1,1,2,1,3,1,2,0,0,1,1,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
70,5,0,2,2,2,0,0,1,1,0,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
71,4,0,1,2,1,1,0,1,0,1,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
72,4,2,2,3,0,1,0,0,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
73,4,3,2,1,0,0,0,1,1,0,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
74,3,1,3,3,1,1,1,1,1,1,2,1,1,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
75,3,1,1,1,1,1,0,0,0,0,1,0,0,High,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
76,3,1,1,1,1,0,0,1,1,0,2,0,0,Low,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
77,4,1,7,2,2,3,0,2,0,1,2,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
78,4,1,2,2,0,1,1,0,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
79,4,0,2,3,0,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
80,5,0,2,0,0,0,0,0,0,0,1,1,1,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
81,4,0,3,3,1,2,0,1,0,0,2,1,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
82,4,1,2,1,1,2,0,0,1,1,1,0,1,Low,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
83,4,1,0,1,0,0,0,0,0,1,1,0,1,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
84,3,1,3,2,0,2,0,2,0,0,0,1,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
85,5,0,0,1,0,2,0,0,1,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
86,5,0,1,1,0,1,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
87,4,0,1,1,2,1,0,0,0,0,2,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
88,3,2,3,3,2,0,0,3,1,1,2,0,2,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
89,4,0,3,0,1,2,0,1,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
90,3,0,2,0,1,2,1,1,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91,5,0,0,0,0,1,0,0,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
92,4,0,0,0,0,1,0,0,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
93,3,3,3,4,1,3,1,1,1,1,1,0,1,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
94,4,2,2,2,0,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
95,4,0,1,2,1,0,0,0,1,0,2,1,1,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
96,5,0,1,0,0,2,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
97,2,1,1,2,1,2,0,1,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
98,4,1,0,1,0,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
99,4,0,3,1,1,0,1,1,1,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
