facility_id,fc01,fc02,fc03,fc04,fc05,fc06,fc08,fc09,fc10,fc11,fc13,fc14,fc15,fc16,fc18,fc19,fc20,fc21,fc22,fc23,fc24,fc25,fc27,fc28,fc29,fc31,fc33,fc35,fc36,fc37,fc38,fc39,fc40,fc41,fc42,fc43,fc44,fc45,fc46,fc47,fc48,fc49,fc50,fc51,fc52,fc53,fc54,fc55,fc56,fc57
FA0000590,,,2,,,5,2,1,2,,,,1,1,,,,,2,,,,,4,,,4,,,,,,3,2,,,1,,,,1,,,1,,,,,,
FA0000592,,1,,,,1,,,,,1,,1,,,1,,,,1,,1,,2,,,,,1,,,1,,1,,,,,,,,,1,,,,,,,
FA0000594,,,,,,,,,2,,,,,,,,,,2,,,,,2,,,,,,,,1,,,,,,,,1,,,,2,1,,,,,
FA0000599,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
FA0000603,,1,2,,,,1,1,1,,1,,,,,,,1,2,,,1,,1,,,1,,,,,,1,,,,,,,,,,1,1,,,,,,
FA0000605,,1,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,
FA0000611,,,1,,,1,1,1,2,,,,2,2,,,,,1,,,,,3,,,2,,2,,1,1,1,,,,,,,,2,,,,,1,,2,,
FA0000613,,1,,,1,2,1,2,1,,1,,,,,,,,1,1,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,
FA0000614,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,
FA0000615,,,1,,,,,1,,,1,,2,,,,,,2,,,1,,1,,,3,,,,,,1,,,,2,,,,,1,1,,,,,2,1,
FA0000616,,,,,,2,2,2,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,
FA0000621,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,
FA0000624,,1,,,1,1,2,2,3,,,,,,,,,,3,2,,1,,1,,,1,,,,,1,,,,,,,,,,,1,,,,,,,
FA0000627,,,,,,3,,,1,,,,1,1,,,,1,3,,,2,,2,1,,1,,,1,1,1,1,1,,,,,,1,,,1,1,,,,,,
FA0000628,,1,1,,,,,,,1,,,1,,,,,1,4,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,1,,,,
FA0000629,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000630,,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,1,,,,,,,,,,,,,,,,
FA0000633,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,1,,,,,,
FA0000639,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,2,,,,1,,,,,,,,,,,,,,,,,
FA0000642,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,2,,,,,,
FA0000644,,,1,,,,,,3,,,,,,,,,,2,,,,,1,,,1,,,,,,,1,,,,,,,,,,2,,,,,,
FA0000649,,1,,,1,,,,2,,,,2,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000653,,,,,,,1,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,
FA0000654,,,1,,,2,2,,3,,1,,2,,,1,,2,1,1,,1,,2,,,1,,1,,1,3,2,,,,,,,,,,2,4,2,3,,1,,
FA0000655,,,,,,1,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0000656,,,,,,3,1,,1,,,,1,1,,,,1,3,,,,,2,,,1,,1,,,,1,,,,2,1,1,1,1,1,,1,,1,,1,1,
FA0000657,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000658,,,1,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
FA0000659,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,
FA0000660,,,,,,1,,1,1,,1,,2,2,1,,,1,3,,,1,,2,,,1,,,,,,2,,,,,1,,,,,,1,,,,2,,
FA0000661,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,
FA0000665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,1,,
FA0000666,,,,,,,2,1,,,,,,,,,,,1,,,,,1,,,1,,,,,1,1,,,,,,,,,,1,1,,,,,,
FA0000667,,,,,,,1,,1,,,,,1,1,,,1,1,,,,,2,,,1,,,,,1,1,,,,1,,,1,,1,1,1,,,,,,
FA0000672,,1,,,1,2,,1,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,
FA0000673,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,
FA0000674,,,,,,,3,2,,,,,,,,,,,1,,,1,,2,,,1,,,,,1,1,,,,1,,,,,,1,,,,,,,
FA0000675,,,1,,,,,1,1,,,,,,,,,,2,,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,
FA0000677,,1,,,1,2,1,,,,,,2,1,,,,,1,,,,,1,,,,,1,,2,2,1,,,,,1,1,,,,1,1,,,,1,,
FA0000678,,,1,,,,,,1,,,,,1,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
FA0000679,,,,,,1,,,,,,,,2,,,,,1,,,,,1,,,1,,,,,,1,,,,,,,,,,,1,,,,,,
FA0000680,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0000682,,1,,,1,1,,,3,,,,1,,,,1,1,1,1,,,,1,,,2,,,,,,,,,,,,,,,,2,,,,,,,
FA0000684,,,1,,,2,1,,,,,,,,,1,,,3,,,,,,,,,,,,,,1,,,,1,,,,,,,2,,,,,,
FA0000685,,1,1,,1,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,
FA0000688,,,,,1,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
FA0000694,,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0000696,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0000697,,,,,,1,1,1,,,,,,,,,,1,2,,,2,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0000713,,,,,1,1,1,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000714,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000720,,,,,,2,,,2,,1,,,,,,,,1,,,1,,1,,,,,,,1,,1,,,,1,,,,1,,,1,,,,,,
FA0000721,,,1,,,1,,1,1,,1,,2,,,,,,1,,,,,1,,,1,,,,,1,,,,,,1,,1,1,,1,1,,,,,,
FA0000724,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000725,,,,,,1,1,,1,,,,1,,,,,,1,,,,,,,,,,,1,,1,1,,,,,1,,,1,,,1,,,,1,,
FA0000728,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,1,,1,,,,,,,,1,,,,,,,,,
FA0000731,,1,,,1,1,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,1,
FA0000737,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
FA0000738,,,2,,1,2,,1,4,1,,1,,,,1,,3,4,,,,,,,,2,,,,,1,1,,,,,,,,1,,2,1,,,,,,
FA0000743,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0000747,,,,,,1,,,2,,,,1,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,
FA0000748,,,1,,,2,,,,,,,,,,,,,1,,,,,1,,,1,,,,,1,2,,,,,,,,,,,2,,,,,,
FA0000751,,,,,1,,,1,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
FA0000754,,1,,,,,2,,1,,,,,,,,,1,2,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,
FA0000758,,,,,1,,,,,,,,2,,,,,,1,,,1,,1,,,,,,,,,2,,,,,,,,,,1,1,,,,1,1,
FA0000759,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,
FA0000770,,1,1,,1,,,,1,,,,,,,,,2,2,1,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,
FA0000773,,,,,,2,1,1,2,,2,,2,1,,,,,4,,,,,,,,,,1,,,3,3,1,,,2,,,,,,1,1,,,,,,
FA0000780,,,1,,,1,,,,1,,,,1,,,,,,,,1,,1,,,,,,1,,1,,,,,1,,1,1,,,1,1,,,,1,,
FA0000782,,,,,,1,1,,,,,,1,,,,,2,,,,,,2,1,,,,,,,1,1,,,,1,,,1,,1,,,,,,2,,
FA0000783,,,,,,2,,1,,,,,,,,,,,2,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
FA0000785,,,1,,,,,,2,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,2,1,1,,,,2,,,,1,,
FA0000790,,,,,,1,1,,1,,,,1,,,,,,2,,,,,,,,1,,,,,1,1,,,,1,,,,,,1,,,,,,,
FA0000794,,,1,,,,,,,1,,,,,,,,,2,,,1,,,,,2,,1,,,,1,,,,,,1,1,1,,,,,,,,,
FA0000798,,1,1,,1,1,2,,5,,,,2,1,,,,,3,,,1,,3,,,1,,,,2,1,,1,,,,1,,1,1,,1,,,,,,,
FA0000800,,,,,,,,,2,,1,,,1,,1,,1,3,,,,,1,,,1,,,,,,,,,,,,,2,,,2,1,,,,2,,
FA0000801,,,,,,1,,,2,,,,1,1,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,1,,1,1,,,,,,
FA0000803,,,,,1,2,,,2,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
FA0000805,,1,,,1,1,,,1,,,,,1,,,1,,2,1,,,,,,,,,,,,,1,2,,,1,,,1,,,,,,,,,,
FA0000808,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,2,,,,1,,,,,1,,,,,,,,,,,,
FA0000818,,1,2,,,3,,,3,,,1,2,1,,,,2,2,,,,,3,,,,,1,1,1,1,3,1,,,,1,,1,1,,,1,,,,1,1,
FA0000821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0000826,,,,,,3,2,,3,,,,,,,,,,3,,,,,1,,,,,,,1,,1,,,,,,,2,,1,2,1,,,,2,,
FA0000829,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000830,,,,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,
FA0000831,,,,,,1,2,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,1,,,,,,,
FA0000834,,,1,,,2,,1,,,,,1,,,,,,2,,,,,3,,,1,,1,,,2,1,,,,,,,1,1,,,1,,,,,,
FA0000838,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,1,,,,,,
FA0000840,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
FA0000841,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000843,,,,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,1,1,1,
FA0000844,,1,1,,,,,,2,,,,1,1,,,,,1,,1,,,1,,,1,,,,,1,1,,,,,,,,,,1,1,,,,,,
FA0000845,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
FA0000847,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0000848,,,,,,,,,1,,,,,,,,,,1,,,2,,1,,,2,,,,,,1,,,,,,,,,,,1,,,,,,
FA0000851,,,,,,,,,,,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,
FA0000863,,,1,,,1,,,2,,1,,1,1,,,,,2,,,,,,,,,,1,1,,,1,,,,1,,1,1,,1,,,,,,1,1,
FA0000870,,,1,,,1,,,2,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
FA0000872,,,,,,1,,,1,,,,3,,,,,1,1,,,,,2,,,,,1,,,1,3,2,,,1,3,1,3,2,,,1,,,,3,,
FA0000878,,1,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000879,,1,1,,1,,,,1,,,,1,1,,1,,,1,1,,,,2,,,,,1,1,,,,,,,,,,2,1,,,1,,,,1,,
FA0000881,,,,,,1,1,,,,,,,,,,,,2,,,,,1,,,,,2,,,,,,,,,1,,,1,,,2,,,,,,
FA0000882,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,1,
FA0000885,,,1,,,2,,,1,,,,5,,,,,2,3,,,,,2,,,1,,1,,2,3,2,,,,,,2,2,1,,3,,,,,5,,
FA0000886,,,,,,,1,,1,,,,,,,,1,,3,,,1,,2,,,1,,,,,1,1,,,,,,,,,,,,,,,,,
FA0000887,,,,,,1,,,1,,1,,,,,,,2,1,,,,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,
FA0000888,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000889,,,1,,1,,,,2,,,,,,,1,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
FA0000897,,,,,,1,1,2,,,,,,,,,,,2,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,
FA0000898,,,1,,1,2,1,,,,,,,,1,,,1,1,1,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,1,,
FA0000907,,1,,,1,,,,,,1,,1,1,,,,,1,1,,,,1,,,,,1,1,1,3,1,,,,1,,1,1,,,1,1,,,,1,1,
FA0000909,,,,,1,,,,1,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000923,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FA0000925,,1,1,,1,1,1,,1,,,,2,,,,1,,3,,,1,,1,,,1,,1,1,1,,1,1,,,,1,,,,,,1,,,,,,
FA0000926,,,1,,,,,1,2,,1,,,1,,,,,2,,,1,,1,,,2,,1,,,1,,,,,,,,,,,1,1,,,,,,
FA0000931,,1,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0000941,,,1,,,2,,1,1,,1,,1,1,,,,,3,,,,,2,,,1,,,,,1,,,,,,,,1,,2,,1,,,,1,,
FA0000942,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,1,,,1,,,,,,
FA0000943,,1,3,,,3,1,1,3,,1,,1,1,,,,,3,1,,2,,2,,,2,,,,,,1,,,1,,,,1,,,2,1,,,,1,,
FA0000945,1,1,2,,1,,,1,,,,,,,,,,1,2,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
FA0000947,,,1,,,2,,1,,,1,,,,,,,,1,,,,,3,,,,,,,,,,1,,,,,,,,1,,,,,,,,
FA0000951,,,,,,1,,,,,,,,,,,1,,2,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
FA0000957,,,,,,1,1,,2,,,,,,,,,,1,,,,,2,,,1,,2,,,,2,,,,,,,1,,,,,,,,,1,
FA0000959,,1,,,1,1,,,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0000961,,1,,,,1,1,1,2,,,,,,,,1,,2,1,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0000962,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000963,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FA0000966,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,
FA0000968,,,,,,,2,,1,,1,,,1,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,
FA0000969,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,
FA0000970,,,1,,,,,1,1,,,,,,,1,,,1,,,1,,2,,,,,1,,2,1,1,,,,,,,1,,,1,2,,,,2,2,
FA0000971,,,1,,,1,,,,,,,1,,,,,,1,,,1,,,,,,,,,,1,,1,,,1,,,1,2,,,,,1,,2,,
FA0000972,,1,,,,2,,,,,,,,,,,,,1,,,,,2,,,1,,,,,,,1,,,,,,,2,,,,,,,,,
FA0000973,,1,1,,1,,,,3,,,,,,,,,,,,,,,2,,,,,1,,,,1,1,,,,,,,2,1,,,,,,1,,
FA0000974,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
FA0000975,,,,,,,,,1,,1,,1,,,,,,1,,,,,1,,,,,1,,,2,,,,,,,,1,1,,,,,1,,1,,
FA0000976,,,,,,1,,,,,1,,2,1,,,,,3,,,,,1,,,1,,,2,1,1,3,,,,,1,,2,,,2,1,,,,1,1,
FA0000990,,,1,,,,1,,,,,,1,,,,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,2,2,,,,,,
FA0000995,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000996,,1,,,1,1,,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,
FA0000997,,1,,,1,1,,,2,,,,1,,,,,1,2,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
FA0001000,,,,,,,,,1,,,,,,,,,1,2,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,
FA0001003,,,,,1,,1,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,
FA0001004,,,,,,1,2,2,2,,,,,,,,,1,3,,,1,,,,,,,,,,2,1,,,,,,,,1,,2,,,1,,,,
FA0001005,,1,,,1,,1,,1,,,,,,,,,,2,,,,,3,,,1,,1,,,,,,,,,,,,1,,,1,,,,,,
FA0001007,,,,,,1,,,1,,,,,,,,,,3,,,,,1,,,1,,1,,1,,1,,,,,,,,,,,1,,,,,,
FA0001014,,,,,,1,,,1,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,
FA0001017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
FA0001020,,,,,,1,1,,1,,,,1,,,,,,2,,,1,,2,,,1,,,,,1,1,,,,1,,,,,,1,,,,,,,
FA0001021,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
FA0001022,,,,,,,,,1,,,,1,,,,,,2,,,,,,,,,,,,,,2,1,,,,1,,,,,,1,,,,,,
FA0001035,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,
FA0001036,,,,,,,2,,,,,,,,,,,,3,,,,,,,,1,,,,,,2,,,,,,,,1,,1,1,,,,,,
FA0001046,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,
FA0001055,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0001057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
FA0001060,,,1,,,,1,,,,,,1,1,,,,,1,,,1,,1,,,,,1,,,,1,2,,,1,,,,1,1,,1,,,,2,,1
FA0001072,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,
FA0001074,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0001076,,,,,,1,,,2,,,,,1,,,,,1,,,,,,,,,,1,,,,2,1,,,1,,,1,1,,,1,,,,1,,
FA0001077,,,1,,,1,1,,4,,1,,,,,,,,2,,,,,3,,,1,,1,,1,1,1,,,,1,,,,2,1,,1,,1,,,,
FA0001084,,,1,,,1,,1,,,,,1,2,,1,,,3,,,,,1,,,3,,,,,1,1,,,,1,,,,,,1,,,,,,,
FA0001086,,,2,,,,,,,,1,,1,,,,,,2,,,,,1,,,,,,,,2,2,1,,,,,,1,1,,,,,,,,,
FA0001088,,,,,1,1,,,3,,,,2,,,,,,1,,,,,1,,,,,,,,1,1,,,,,1,,,1,,2,,,,,1,,
FA0001090,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
FA0001091,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,
FA0001094,,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,,2,,,,1,,
FA0001114,,,,,,,1,,,,,,2,1,,,,,,,,1,,2,,,,,,,,1,,,,,,1,1,1,1,,,,,,,1,,
FA0001116,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001124,,,2,,,1,2,,1,2,,,,1,,,,,,,,,,2,,,,,1,,,,,,,,,1,,,1,,1,3,,,,1,,
FA0001126,,1,1,,1,,,,3,,1,,2,1,,,,,,1,,,,,,,,,,,,1,,,,,,1,,3,2,,1,3,,,,2,1,
FA0001138,,,,,,,1,1,1,,1,1,1,,,,,1,3,1,,,,,,,,,,,,,1,,,,,1,,,,,1,3,,,,,,
FA0001149,,,,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,
FA0001161,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001163,,,1,,,,2,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,1,,
FA0001166,,,1,,,1,1,,3,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,1,,2,,,,1,,1,,1,,
FA0001167,,,1,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,1,
FA0001168,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
FA0001169,,1,,,1,1,,,2,,,,1,1,,,,,1,,,,,1,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,
FA0001175,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,1,,,,,,,,2,,,,1,,,,2,,
FA0001182,,,2,,,3,2,1,3,,1,,3,,,,,1,1,,,,,2,,,1,,1,3,,1,2,2,,,,,,2,1,2,2,3,,,,3,,2
FA0001183,,,,,,1,1,1,,,,,1,1,1,,,,1,1,,,,,,,,,,2,,,,,,,3,,,1,,,1,,,,,1,1,1
FA0001186,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
FA0001191,,,1,,,2,2,1,2,,1,,,,,1,,,3,,,1,,4,,,,,1,,,1,1,1,,,,,,1,1,,,2,,1,,1,,
FA0001192,,,1,,,,3,,1,,,,1,,,,,,2,1,,2,,2,,,2,,,1,,1,1,,,,,,,2,,,1,,,,,1,1,1
FA0001195,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,
FA0001198,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,
FA0001200,,,,,,1,2,3,,,,,,,,,,,2,,,,,,,,2,,,,,,2,,,,,,,,1,,,2,,1,,,,
FA0001202,,1,,,1,1,,1,1,,,,,,,,,,3,,,,,1,,,3,,,,1,1,,,,,,,,1,,,,,,,,1,1,
FA0001203,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,2,,
FA0001204,,,,,,1,,,1,,,,,,,,,1,2,,,,,1,,,,,1,,,2,,1,,,,,,,,,1,1,,,,1,,
FA0001215,,1,,,1,2,,,2,,,,2,,,,,,1,,,2,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,1,,
FA0001220,,,,,,2,,,2,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,
FA0001225,,1,,,1,,1,,1,,,,,,,,,,1,,,,,2,,,,1,,,,,,,,,,,,,,,,1,,,,1,,
FA0001229,,,,,,,,1,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0001230,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,
FA0001232,,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
FA0001234,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
FA0001236,,,,,,1,1,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,
FA0001237,,,,,,,,1,2,,,,1,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,
FA0001240,,,,,1,1,1,1,1,,,,1,,,,,,,,,,,1,,,,,3,,,,1,,,,,,,1,1,2,1,,,,,1,,
FA0001242,,,,,,,1,3,1,,,,,,,,,,2,,,,,,2,,1,,,,,1,1,,,,1,,,,,,,,,,,,,
FA0001243,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,2,1,,,,1,,
FA0001244,,1,,,1,,,,3,,,,,2,,,,1,2,1,,,,1,,,,,,,,2,1,,,1,,1,1,2,2,3,1,1,,,,3,1,
FA0001245,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,
FA0001247,,,,,,,1,1,,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FA0001249,,,,,,1,1,1,1,,,,,,,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FA0001251,,,,,,,1,,1,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,
FA0001253,,1,,,1,2,4,1,2,,,,3,1,,,,3,3,,,1,,4,,,,2,,,,4,,,,,1,,1,2,2,,,3,,,,5,,
FA0001257,,,,,1,1,,,1,,1,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,1,,,,1,,
FA0001258,,,1,,,,1,,1,,,,,,,,,,,,,2,,,,,,,,,1,1,2,,,,,1,1,1,1,1,1,1,1,,,1,1,
FA0001260,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0001267,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,
