facility_id,fc01,fc02,fc03,fc04,fc05,fc06,fc08,fc09,fc10,fc11,fc13,fc14,fc15,fc16,fc18,fc19,fc20,fc21,fc22,fc23,fc24,fc25,fc27,fc28,fc29,fc31,fc33,fc35,fc36,fc37,fc38,fc39,fc40,fc41,fc42,fc43,fc44,fc45,fc46,fc47,fc48,fc49,fc50,fc51,fc52,fc53,fc54,fc55,fc56,fc57
FA0000140,,,,,,1,1,1,,,1,,2,1,,,,,2,,,2,,1,,,1,,,1,,,,,,,,,1,1,,1,,1,,,,1,1,
FA0000147,,1,,,1,1,1,,2,,,,,,,1,,,1,1,,,,1,,,,,1,,,1,1,,,,,,,,,1,1,,,1,,1,,
FA0000150,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,
FA0000152,,,1,,,,,,,,,,,1,,,,,1,,,1,,1,,,1,,,,,,2,,,,,,,,2,,,1,,,,,,
FA0000157,,,,,,,1,,1,,,,1,,,,,1,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,
FA0000159,,,,,,,1,1,1,,,,1,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,1,,
FA0000162,,,,,,2,,,,,1,,1,,,,,,1,,,,,2,,,,,,1,,1,1,,,,,,1,1,,,,1,,,,,,
FA0000164,,1,1,,1,1,1,,1,,,,1,1,,,,,,1,,1,,1,,,,,,,1,2,1,,,,1,,1,1,,1,2,,,,,1,1,
FA0000165,,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,
FA0000181,,,1,,,1,1,,1,,,,,,,,,,,,,,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,,
FA0000182,,1,1,,1,2,2,,3,,,,2,1,,,,2,3,1,,,,1,,,2,,2,1,,2,,,,,1,,,1,3,,1,,,1,,,1,1
FA0000185,,,,,,1,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,
FA0000191,,,,,,,,,1,,,,2,1,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,1,1,,,,1,,
