facilityId,facilityName,concat_address,typeOfFacility,categoryOfFacility,origin_lat,origin_long,google_lat,google_long
FA0000333,PAULS COFFEE AND TEA,956 W CHERRY ST UNIT 101 LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.964063, -105.162113,39.9638791,-105.1622056
FA0002371,DELI ZONE LONGMONT,1240 KEN PRATT BLVD UNIT 9 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.152321, -105.113536,40.1528021,-105.113927
FA0000359,GONDOLIER ITALIAN EATERY,1217 S MAIN ST LONGMONT CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.144435, -105.102494,40.144383,-105.103147
FA0000484,LE PEEP,2525 ARAPAHOE AVE E50 BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.014691, -105.262043,40.0152398,-105.2600413
FA0000538,SNARFS,645 KEN PRATT BLVD LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.152347, -105.104733,40.1520525,-105.1047228
FA0005030,SPRUCE CAFE,4740 PEARL ST UNIT 105 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.025215, -105.242841,40.0248318,-105.2426089
FA0000968,NCAR,3450 MITCHELL LN BLDG 2 BOULDER CO USA,RESTAURANT MORE THAN 200 SEATS,FULL MENU LIMITED SERVICE,40.036602, -105.242075,40.0375653,-105.2418728
FA0000225,STEAKHOUSE 316,1922 13TH ST BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.01742, -105.278425,40.0176648,-105.2781944
FA0000954,UNIVERSITY HILL MARKET AND DELI,1134 13TH ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,GROCERY FINISHED FOODS,40.007868, -105.276226,40.007968,-105.275985
FA0002578,PANERA BREAD #2437,425 KEN PRATT BLVD LONGMONT CO USA,RESTAURANT 101 TO 200 SEATS,FAST FOOD LIMITED MENU,40.152422, -105.099509,40.1519161,-105.0997213
FA0003499,SPANISH,1143 13TH ST UNIT 101 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.008167, -105.276224,40.0081681,-105.276599
FA0005346,LONGMONT YOUTH CENTER,1050 LASHLEY ST Longmont CO USA,NO FEE LICENSE K12 SCHOOLS NON PROFIT,FULL SERVICE FULL MENU,40.177731, -105.088286,40.177251,-105.0879373
FA0003502,CURE ORGANIC FARM (FARMERS MARKET),7416 VALMONT RD BOULDER CO USA,MOBILE UNIT PREPACKAGED,PRE PACKAGED,40.032998, -105.181467,40.0327259,-105.1803587
FA0000996,OZO COFFEE COMPANY,5340 ARAPAHOE RD UNIT L BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.01461, -105.228345,40.0141309,-105.2284171
FA0002948,QDOBA MEXICAN GRILL #2526,459 S MCCASLIN BLVD UNIT 1 LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FAST FOOD LIMITED MENU,39.964846, -105.163522,39.9648577,-105.1641366
FA0000728,ROCKY MOUNTAIN CHOCOLATE FACTORY,1300 PEARL ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.018172, -105.278688,40.0180746,-105.278474
FA0001631,CHINA BUFFET,800 S HOVER RD LONGMONT CO USA,RESTAURANT MORE THAN 200 SEATS,FULL MENU LIMITED SERVICE,40.151473, -105.130623,40.1517016,-105.1277685
FA0003521,COLORADO ATHLETIC CLUB,1821 E 30th ST UNIT B BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.018728, -105.253751,40.0187496,-105.2548631
FA0000889,7 ELEVEN 41867,3334 ARAPAHOE RD ERIE CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.01525, -105.101893,40.0166075,-105.1022791
FA0003466,NOODLES AND COMPANY #150,2602 BASELINE RD UNIT 150 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.000254, -105.261474,39.99953480000001,-105.2610158
FA0000067,BUFF RESTAURANT THE,2600 CANYON BLVD BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.017467, -105.259512,40.0171304,-105.2602235
FA0001220,PAPA MURPHYS PIZZA,3331 ARAPAHOE RD ERIE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.015324, -105.100451,40.0162977,-105.1003947
FA0000556,MOUNTAIN SUN PUB & BREWERY,1535 PEARL ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.018885, -105.275207,40.0190106,-105.2752151
FA0000845,TACO BELL 3612,450 SOUTH BOULDER RD LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.986898, -105.094982,39.9868343,-105.0869841
FA0004691,CAFE RIO MEXICAN GRILL,48 KEN PRATT BLVD UNIT 150 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.152532, -105.094791,40.1529891,-105.0949506
FA0000432,KOREA HOUSE,2750 GLENWOOD DR UNIT 4 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.032821, -105.259564,40.0323957,-105.2596712
FA0002331,SANTIAGOS II MEXICAN RESTAURANT,104 N PUBLIC RD LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,39.998653, -105.090458,39.9986678,-105.0902438
FA0000773,YURIHANA,6525 GUNPARK DR UNIT 330 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.070008, -105.201443,40.07018739999999,-105.2004522
FA0002230,STARBUCKS COFFEE 8663,815 E 17TH AVE UNIT C5 LONGMONT CO USA,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,40.188713, -105.076364,40.1880694,-105.0765196
FA0000990,BOULDER BURGER,1310 COLLEGE AVE UNIT 210 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.007302, -105.275896,40.0071181,-105.2759597
FA0001245,MARTINOS PIZZERIA,1389 FOREST PARK CIR UNIT 101 LAFAYETTE CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.01433, -105.12801,40.014328,-105.128281
FA0002900,ALL TIME FAVORITES (SPECIAL EVENT),4472 HAYSTACK DR Windsor CO USA,SPECIAL EVENT,SPECIAL EVENT,40.439559, -104.951279,40.4394218,-104.9508866
FA0002330,CHIPOTLE MEXICAN GRILL #650,1708 N MAIN ST UNIT A LONGMONT CO USA,RESTAURANT 101 TO 200 SEATS,FAST FOOD LIMITED MENU,40.189226, -105.102329,40.1891734,-105.101731
FA0003799,GOODY MONSTER,1310 COLLEGE AVE UNIT 235 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.007302, -105.275896,40.0071181,-105.2759597
FA0001067,TORTILLAS DE LA FRONTERA,1630 N MAIN ST UNIT 105 LONGMONT CO USA,GROCERY STORE W DELI 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,40.187276, -105.102323,40.1873677,-105.1013433
FA0000697,POST BREWING COMPANY,2027 13TH ST BOULDER CO USA,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,40.018803, -105.278887,40.018848,-105.2790964
FA0000743,WINOT COFFEE,7960 NIWOT RD UNIT D 13 NIWOT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.101612, -105.168147,40.10004929999999,-105.1672438
FA0000240,SUBWAY #34537,5280 SPINE RD UNIT 102 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.07028, -105.202131,40.0703182,-105.201701
FA0004653,PAPA MURPHY'S,765 E SOUTH BOULDER RD LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.986994, -105.134574,39.9872112,-105.1343928
FA0001554,LOGANS ESPRESSO CAFE,3980 BROADWAY ST UNIT 101 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.047525, -105.282086,40.0476038,-105.280851
FA0000402,NEW MOON BAKERY,1 W 1ST ST UNIT A NEDERLAND CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,39.961887, -105.510445,39.962135,-105.5105752
FA0000423,KING SOOPERS 33,3600 TABLE MESA DR BOULDER CO USA,GROCERY STORE W DELI MORE THAN 15000 SQ FT,GROCERY FINISHED FOODS,39.973744, -105.212362,39.9835951,-105.2511107
FA0003787,PAPA MURPHYS,965 S HOVER ST UNIT B LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.151173, -105.130749,40.1512968,-105.1315264
FA0000295,COLORADO ATHLETIC CLUB AT FLATIRONS,505 THUNDERBIRD DR BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,39.995532, -105.232074,39.9962737,-105.2330988
FA0001163,SUBWAY,1630 N MAIN ST UNIT 101 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.187276, -105.102323,40.18736910000001,-105.1017338
FA0000132,BOBS SANDWICH SHOP,820 MAIN ST UNIT 100 LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.978279, -105.132144,39.9783333,-105.132
FA0001036,WAHOOS FISH TACO,2790 PEARL ST UNIT A BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FAST FOOD LIMITED MENU,40.022157, -105.258982,40.021868,-105.258716
FA0000293,NIWOT TAVERN,7960 NIWOT RD UNIT D12 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.101612, -105.168147,40.10004929999999,-105.1672438
FA0005232,VERDE,640 MAIN ST UNIT A Louisville CO USA,RESTAURANT 101 TO 200 SEATS,FULL MENU LIMITED SERVICE,39.976661, -105.132138,39.9766071,-105.1318801
FA0000759,NEPAL CUISINE,4720 TABLE MESA DR BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.985768, -105.23868,39.98498,-105.2386611
FA0000522,LAS PALMERAS TAQUERIA,1131 FRANCIS ST UNIT B LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.17889, -105.116546,40.1787733,-105.1169866
FA0002991,JIMMY JOHNS,210 KEN PRATT BLVD UNIT 200 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.152544, -105.096644,40.1537094,-105.0987169
FA0000105,ARABESQUE,1634 WALNUT ST STE 101 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.01814, -105.273489,40.0180096,-105.2734688
FA0000256,BPOE LODGE 1055,306 COFFMAN ST LONGMONT CO USA,RESTAURANT 101 TO 200 SEATS,BARS FRATERNAL ORGANIZATIONS,40.164358, -105.103845,40.1642415,-105.1034667
FA0000210,PISTACHIO CAFE BAKERY,2333 N MAIN ST UNIT A LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.201283, -105.102576,40.200947,-105.1031013
FA0000826,SONIC DRIVE IN,2339 N MAIN ST LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.201371, -105.102577,40.2013872,-105.1031698
FA0000063,BREWING MARKET,1520 S HOVER ST STE A LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.140263, -105.13086,40.1403455,-105.1304567
FA0004816,CROSSCUT PIZZERIA & TAPHOUSE,4 E FIRST ST NEDERLAND CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,39.961889, -105.510163,39.9617314,-105.5102318
FA0000152,CARELLIS OF BOULDER RISTORANTE ITAL,645 30TH ST BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL MENU LIMITED SERVICE,39.999111, -105.253027,39.9988378,-105.2537574
FA0000621,PAPA MURPHYS,2330 MAIN ST UNIT B LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.200372, -105.102498,40.2003792,-105.1019365
FA0000037,SAFEWAY 2812,910 W CHERRY ST LOUISVILLE CO USA,GROCERY STORE W DELI MORE THAN 15000 SQ FT,GROCERY FINISHED FOODS,39.964315, -105.160915,39.9637924,-105.16007
FA0000785,SUNSET GOLF COURSE,1900 LONGS PEAK AVE LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.1705, -105.125468,40.1702863,-105.1222181
FA0002163,LAMAR DONUTS,133 MCCASLIN BLVD UNIT E LOUISVILLE CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.954737, -105.165705,39.97021489999999,-105.1639539
FA0003522,SNARFS SANDWICHES,637 A SOUTH BROADWAY RD BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,39.984339, -105.248924,39.98320440000001,-105.2499644
FA0004884,POTBELLY SANDWICH SHOP,1685 29TH ST UNIT 1264 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.016242, -105.256168,40.0168907,-105.2563178
FA0000975,LUUS ASIAN CUISINE,1104 FRANCIS ST LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.177715, -105.116527,40.1780662,-105.1158913
FA0000281,OLD SANTA FE MEXICAN GRILLE,592 S MCCASLIN BLVD LOUISVILLE CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,39.962113, -105.164041,39.9616856,-105.1632228
FA0004627,LA LOMA CARNICERIA,4483 BROADWAY ST BOULDER CO USA,GROCERY STORE W DELI 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,40.055861, -105.282119,40.0560226,-105.2826137
FA0000418,RIVER AND WOODS,2328 PEARL ST BOULDER CO USA,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,40.020966, -105.264975,40.0207887,-105.2649127
FA0000336,DA GABI CUCINA,3970 N BROADWAY ST UNIT 101 BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,40.047704, -105.282086,39.9903031,-105.2568417
FA0001014,VILLAGE COFFEE SHOP,1605 FOLSOM ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.01568, -105.26313,40.0155875,-105.2634735
FA0000782,SCROOGE MAKI,1107 13TH ST BOULDER CO USA,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,40.00758, -105.276228,40.0075099,-105.2764136
FA0004604,FIREHOUSE SUBS,2343 CLOVER BASIN DR UNIT 207 LONGMONT CO USA,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,40.144167, -105.139585,40.1431394,-105.1313991
